iter	RMSE
0	230.7840722
1	222.8876431
2	215.889745
3	209.075407
4	202.9733168
5	197.0325211
6	191.2708303
7	186.2895277
8	181.4248333
9	176.7473945
10	172.4785425
11	168.8431118
12	164.4528306
13	160.9581432
14	157.2830062
15	153.6879457
16	150.5410389
17	147.600432
18	144.7747644
19	141.8184654
20	138.7705309
21	136.0289049
22	133.4741059
23	131.2763098
24	128.460216
25	126.0759955
26	123.5418438
27	121.3947353
28	119.2692026
29	117.1544606
30	115.1657295
31	113.210174
32	111.3776623
33	109.611295
34	107.7920121
35	105.8850899
36	104.3867919
37	102.7265367
38	101.0145772
39	99.41081632
40	97.76983902
41	96.28438468
42	94.90586307
43	93.4951989
44	92.10021978
45	90.71236722
46	89.26245747
47	88.02085833
48	86.89738979
49	85.57443994
50	84.44223628
51	83.17040436
52	82.09320957
53	80.90626381
54	79.74489728
55	78.60859133
56	77.52699527
57	76.41724985
58	75.47851716
59	74.68129874
60	73.91891194
61	72.93925981
62	72.08931947
63	71.13510254
64	70.2058964
65	69.25663739
66	68.46059772
67	67.66801498
68	66.84438171
69	66.05240675
70	65.16990885
71	64.42614039
72	63.6534128
73	62.86065619
74	62.13150504
75	61.36036634
76	60.67879065
77	59.96875711
78	59.27878404
79	58.55957274
80	57.90059542
81	57.26044568
82	56.62173473
83	55.96167715
84	55.36560437
85	54.77926466
86	54.18203446
87	53.57941388
88	53.10875291
89	52.52981752
90	51.95610356
91	51.40485813
92	50.81398803
93	50.26525741
94	49.73418422
95	49.21767169
96	48.70362115
97	48.19631495
98	47.69857819
99	47.20288153
100	46.72812109
101	46.27475569
102	45.81586951
103	45.34190606
104	44.84549371
105	44.39012688
106	43.93604357
107	43.48513539
108	43.06181336
109	42.62205741
110	42.21510453
111	41.82240766
112	41.42239474
113	41.02435045
114	40.61841739
115	40.24580217
116	39.85829428
117	39.4926753
118	39.10007384
119	38.72430778
120	38.39050486
121	38.04728599
122	37.70154024
123	37.36216735
124	37.03134475
125	36.6743002
126	36.3294978
127	35.99397017
128	35.67471274
129	35.36198713
130	35.05154143
131	34.74781477
132	34.45886848
133	34.19438435
134	33.9236756
135	33.65325617
136	33.39577276
137	33.09979276
138	32.83721687
139	32.59022378
140	32.32710442
141	32.10347876
142	31.87255772
143	31.62991681
144	31.39612417
145	31.17016402
146	30.94775508
147	30.74192051
148	30.50396776
149	30.29182646
150	30.07039386
151	29.85910683
152	29.66449999
153	29.47419939
154	29.27695623
155	29.06972194
156	28.87522436
157	28.67532194
158	28.49679919
159	28.31974857
160	28.14953295
161	27.98311646
162	27.8065449
163	27.65775664
164	27.48043325
165	27.28848423
166	27.13252699
167	26.98303783
168	26.82216011
169	26.67080115
170	26.51814365
171	26.38521643
172	26.21023811
173	26.05032131
174	25.90690955
175	25.77197634
176	25.63366819
177	25.49467321
178	25.36380144
179	25.24570679
180	25.12151451
181	24.97482912
182	24.83099448
183	24.70686234
184	24.56945352
185	24.45170467
186	24.33466604
187	24.21812426
188	24.10363499
189	23.9617979
190	23.83856644
191	23.72660794
192	23.63246552
193	23.5193934
194	23.40483377
195	23.31801835
196	23.23811175
197	23.10992076
198	23.00976934
199	22.91722113
200	22.81224074
201	22.72160402
202	22.64112737
203	22.54510147
204	22.45424001
205	22.35783056
206	22.28385439
207	22.20731594
208	22.12545323
209	22.04446716
210	21.96195136
211	21.85634974
212	21.78704476
213	21.71288426
214	21.6322272
215	21.53619073
216	21.47487378
217	21.39750819
218	21.31990304
219	21.26411495
220	21.18790021
221	21.12807753
222	21.05043175
223	20.9688622
224	20.91449008
225	20.85039525
226	20.77929862
227	20.67041576
228	20.5947402
229	20.52461569
230	20.43240022
231	20.38003573
232	20.32355764
233	20.26488581
234	20.19548921
235	20.10666595
236	20.05111731
237	19.98806476
238	19.93323118
239	19.88481717
240	19.81895114
241	19.76752711
242	19.70525246
243	19.62807366
244	19.55848913
245	19.48274283
246	19.43173583
247	19.37690425
248	19.32031752
249	19.25423397
